id,single_alphabet,di-graph,Dwell_time,Interval_time,Latency_time,Flight_time,Uptoup_time
5e390b60a5cd0,0,0meta1,63,53498,53635,53561,53572
5e390b60a5cd0,meta1,meta10,74,311,457,385,383
5e390b60a5cd0,0,06,72,497,625,569,553
5e390b60a5cd0,6,62,56,176,321,232,265
5e390b60a5cd0,2,20,89,378,570,467,481
5e390b60a5cd0,0,06,103,463,603,566,500
5e390b60a5cd0,6,63,37,130,220,167,183
5e390b60a5cd0,3,36,53,697,835,750,782
5e390b60a5cd0,6,60,85,95,269,180,184
5e390b60a5cd0,0,06,89,36,206,125,117
5e390b60a5cd0,6,60,81,52,214,133,133
5e390b60a5cd0,0,0meta1,81,38951,39102,39032,39021
5e390b60a5cd0,meta1,meta10,70,361,504,431,434
5e390b60a5cd0,0,06,73,345,487,418,414
5e390b60a5cd0,6,63,69,399,570,468,501
5e390b60a5cd0,3,3bksp,102,280,454,382,352
5e390b60a5cd0,bksp,bksp2,72,35,187,107,115
5e390b60a5cd0,2,20,80,694,863,774,783
5e390b60a5cd0,0,06,89,317,474,406,385
5e390b60a5cd0,6,63,68,208,365,276,297
5e390b60a5cd0,3,30,89,1760,1955,1849,1866
5e390b60a5cd0,0,06,106,387,624,493,518
5e390b60a5cd0,6,6bksp,131,932,1133,1063,1002
5e390b60a5cd0,bksp,bkspbksp,70,106,252,176,182
5e390b60a5cd0,bksp,bksp6,76,1642,1827,1718,1751
5e390b60a5cd0,6,60,109,55,240,164,131
5e390b60a5cd0,0,06,76,97,276,173,200
5e390b60a5cd0,6,60,103,58,236,161,133
5e390b60a5cd0,0,0meta1,75,61917,62130,61992,62055
5e390b60a5cd0,meta1,meta10,138,262,474,400,336
5e390b60a5cd0,0,06,74,640,788,714,714
5e390b60a5cd0,6,62,74,262,423,336,349
5e390b60a5cd0,2,20,87,199,405,286,318
5e390b60a5cd0,0,06,119,226,417,345,298
5e390b60a5cd0,6,63,72,247,423,319,351
5e390b60a5cd0,3,36,104,177,386,281,282
5e390b60a5cd0,6,60,105,59,241,164,136
5e390b60a5cd0,0,06,77,53,207,130,130
5e390b60a5cd0,6,60,77,38,195,115,118
5e390b60a5cd0,0,0meta1,80,62076,62242,62156,62162
5e390b60a5cd0,meta1,meta10,86,248,436,334,350
5e390b60a5cd0,0,06,102,362,533,464,431
5e390b60a5cd0,6,62,69,200,369,269,300
5e390b60a5cd0,2,20,100,218,434,318,334
5e390b60a5cd0,0,06,116,279,483,395,367
5e390b60a5cd0,6,63,88,167,290,255,202
5e390b60a5cd0,3,36,35,259,384,294,349
5e390b60a5cd0,6,60,90,129,291,219,201
5e390b60a5cd0,0,06,72,97,219,169,147
5e390b60a5cd0,6,60,50,113,235,163,185
5e390b60a5cd0,0,0meta1,72,49883,50045,49955,49973
